sentence_id	sentence	sentiment_label	positivity_probability
1	The Rock is destined to be the 21st Century 's new `` Conan '' and that he 's going to make a splash even greater than Arnold Schwarzenegger , Jean-Claud Van Damme or Steven Segal .	+1	0.69444
2	The gorgeously elaborate continuation of `` The Lord of the Rings '' trilogy is so huge that a column of words can not adequately describe co-writer\/director Peter Jackson 's expanded vision of J.R.R. Tolkien 's Middle-earth .	+1	0.83333
61	Singer\/composer Bryan Adams contributes a slew of songs -- a few potential hits , a few more simply intrusive to the story -- but the whole package certainly captures the intended , er , spirit of the piece .	+1	0.625
63	Yet the act is still charming here .	+1	0.72222
64	Whether or not you 're enlightened by any of Derrida 's lectures on `` the other '' and `` the self , '' Derrida is an undeniably fascinating and playful fellow .	+1	0.83333
68	Just the labour involved in creating the layered richness of the imagery in this chiaroscuro of madness and light is astonishing .	+1	0.875
72	Part of the charm of Satin Rouge is that it avoids the obvious with humour and lightness .	+1	0.72222
82	a screenplay more ingeniously constructed than `` Memento ''	+1	0.83333
131	`` Extreme Ops '' exceeds expectations .	+1	0.73611
132	Good fun , good action , good acting , good dialogue , good pace , good cinematography .	+1	0.90278
134	Dramas like this make it human .	+1	0.80556
136	Still , this flick is fun , and host to some truly excellent sequences .	+1	0.81944
214	Australian actor\/director John Polson and award-winning English cinematographer Giles Nuttgens make a terrific effort at disguising the obvious with energy and innovation .	+1	0.75
228	You walk out of The Good Girl with mixed emotions -- disapproval of Justine combined with a tinge of understanding for her actions .	+1	0.61111
383	Absorbing character study by AndrÃ© Turpin .	+1	0.81944
387	If you love reading and\/or poetry , then by all means check it out .	+1	0.77778
388	You 'll probably love it .	+1	0.81944
428	`` Frailty '' has been written so well , that even a simple `` Goddammit ! ''	+1	0.63889
446	Grenier is terrific , bringing an unforced , rapid-fire delivery to Toback 's Heidegger - and Nietzsche-referencing dialogue .	+1	0.875
473	The actors are fantastic .	+1	0.94444
474	They are what makes it worth the trip to the theatre .	+1	0.72222
486	-LRB- Taymor -RRB- utilizes the idea of making Kahlo 's art a living , breathing part of the movie , often catapulting the artist into her own work .	+1	0.93056
487	This is n't a new idea .	-1	0.33333
488	It 's been done before but never so vividly or with so much passion .	+1	0.81944
514	-LRB- `` Take Care of My Cat '' -RRB- is an honestly nice little film that takes us on an examination of young adult life in urban South Korea through the hearts and minds of the five principals .	+1	0.77778
670	What `` Empire '' lacks in depth it makes up for with its heart .	+1	0.73611
692	Light , silly , photographed with colour and depth , and rather a good time .	+1	0.86111
702	But tongue-in-cheek preposterousness has always been part of For the most part Wilde 's droll whimsy helps `` Being Earnest '' overcome its weaknesses and Parker 's creative interference ...	+1	0.68056
703	Much of the movie 's charm lies in the utter cuteness of Stuart and Margolo .	+1	0.73611
704	Their computer-animated faces are very expressive .	+1	0.72222
742	... spiced with humor -LRB- ' I speak fluent flatula , ' advises Denlopp after a rather , er , bubbly exchange with an alien deckhand -RRB- and witty updatings -LRB- Silver 's parrot has been replaced with Morph , a cute alien creature who mimics everyone and everything around -RRB-	+1	0.68056
748	There 's an energy to Y Tu MamÃ¡ TambiÃ©n .	+1	0.76389
749	Much of it comes from the brave , uninhibited performances by its lead actors .	+1	0.83333
893	`` Auto Focus '' works as an unusual biopic and document of male swingers in the Playboy era	+1	0.65278
896	... a sour little movie at its core ; an exploration of the emptiness that underlay the relentless gaiety of the 1920 's ... The film 's ending has a `` What was it all for ? ''	-1	0.16667
897	feeling to it , but like the 1920 's , the trip there is a great deal of fun .	+1	0.77778
